order_number,location_id
ORD-162094,7
ORD-162095,19
ORD-162096,11
ORD-162097,7
ORD-162098,11
ORD-162099,204
ORD-162100,204
ORD-162101,20
ORD-162102,19
ORD-162103,19
ORD-162104,1
ORD-162105,11
ORD-162106,7
ORD-162107,19
ORD-162108,11
ORD-162109,19
ORD-162110,1
ORD-162111,7
ORD-162112,7
ORD-162113,11
ORD-162114,19
ORD-162115,2
ORD-162119,11
ORD-162120,11
ORD-162121,19
ORD-162122,204
ORD-162129,7
ORD-162130,204
ORD-162131,204
ORD-162132,204
ORD-162133,19
ORD-162134,13
ORD-162135,11
ORD-162136,13
ORD-162137,19
ORD-162138,11
ORD-162139,1
ORD-162140,204
ORD-162141,204
ORD-162142,19
ORD-162143,11
ORD-162144,19
ORD-162145,204
ORD-162146,204
ORD-162147,204
ORD-162148,204
ORD-162149,19
ORD-162150,11
ORD-162151,11
ORD-162152,23
ORD-162153,19
ORD-162154,8
ORD-162155,14
ORD-162156,8
ORD-162157,7
ORD-162158,7
ORD-162159,69
ORD-162160,8
ORD-162161,19
ORD-162162,2
ORD-162163,20
ORD-162164,7
ORD-162165,20
ORD-162166,8
ORD-162167,19
ORD-162168,8
ORD-162169,19
ORD-162170,11
ORD-162171,8
ORD-162172,7
ORD-162173,1
ORD-162174,23
ORD-162175,13
ORD-162176,19
ORD-162177,8
ORD-162178,1
ORD-162179,23
ORD-162180,11
ORD-162181,8
ORD-162182,1
ORD-162183,1
ORD-162184,7
ORD-162185,130
ORD-162186,2
ORD-162187,2
ORD-162188,19
ORD-162189,11
ORD-162190,19
ORD-162191,14
ORD-162192,19
ORD-162193,1
ORD-162194,12
ORD-162195,14
ORD-162196,19
ORD-162197,23
ORD-162198,7
ORD-162199,11
ORD-162200,2
ORD-162201,2
ORD-162202,17
ORD-162203,130
ORD-162204,14
ORD-162205,19
ORD-162206,13
ORD-162207,13
ORD-162208,11
ORD-162209,14
ORD-162210,11
ORD-162211,14
ORD-162212,19
ORD-162213,7
ORD-162214,7
ORD-162215,13
ORD-162216,20
ORD-162217,15
ORD-162218,55
ORD-162219,11
ORD-162220,14
ORD-162221,14
ORD-162222,11
ORD-162223,14
ORD-162224,14
ORD-162225,1
ORD-162226,3
ORD-162227,11
ORD-162228,19
ORD-162229,12
ORD-162230,15
ORD-162231,14
ORD-162232,7
ORD-162233,14
ORD-162234,1
ORD-162235,4
ORD-162236,2
ORD-162237,23
ORD-162238,8
ORD-162239,20
ORD-162240,12
ORD-162241,195
ORD-162242,20
ORD-162243,4
ORD-162244,19
ORD-162245,20
ORD-162246,20
ORD-162247,19
ORD-162248,14
ORD-162249,4
ORD-162250,14
ORD-162251,14
ORD-162252,19
ORD-162253,23
ORD-162254,11
ORD-162255,11
ORD-162256,11
ORD-162257,13
ORD-162258,4
ORD-162259,1
ORD-162260,12
ORD-162261,198
ORD-162262,19
ORD-162263,11
ORD-162264,12
ORD-162265,19
ORD-162266,1
ORD-162267,78
ORD-162268,12
ORD-162269,11
ORD-162270,19
ORD-162271,13
ORD-162272,55
ORD-162273,3
ORD-162274,83
ORD-162275,13
ORD-162276,23
ORD-162277,14
ORD-162278,78
ORD-162279,198
ORD-162280,19
ORD-162281,8
ORD-162282,1
ORD-162283,55
ORD-162284,13
ORD-162285,14
ORD-162286,55
ORD-162287,14
ORD-162288,7
ORD-162289,1
ORD-162290,2
ORD-162291,3
ORD-162292,12
ORD-162293,19
ORD-162294,2
ORD-162295,23
ORD-162296,69
ORD-162297,100
ORD-162298,2
ORD-162299,2
ORD-162300,11
ORD-162301,19
ORD-162302,13
ORD-162303,1
ORD-162304,11
ORD-162305,11
ORD-162306,2
ORD-162307,13
ORD-162308,15
ORD-162309,55
ORD-162310,13
ORD-162311,1
ORD-162312,19
ORD-162313,2
ORD-162314,12
ORD-162315,11
ORD-162316,78
ORD-162317,7
ORD-162318,1
ORD-162319,11
ORD-162320,13
ORD-162321,13
ORD-162322,4
ORD-162323,130
ORD-162324,204
ORD-162325,204
ORD-162326,23
ORD-162327,11
ORD-162328,198
ORD-162329,19
ORD-162330,14
ORD-162331,11
ORD-162332,13
ORD-162333,78
ORD-162334,71
ORD-162335,2
ORD-162336,23
ORD-162337,17
ORD-162338,7
ORD-162339,1
ORD-162340,15
ORD-162341,19
ORD-162342,15
ORD-162343,2
ORD-162344,1
ORD-162345,23
ORD-162346,4
ORD-162347,198
ORD-162348,19
ORD-162349,11
ORD-162350,13
ORD-162351,19
ORD-162352,8
ORD-162353,204
ORD-162354,204
ORD-162355,78
ORD-162356,2
ORD-162357,19
ORD-162358,20
ORD-162359,19
ORD-162360,8
ORD-162361,11
ORD-162362,1
ORD-162363,19
ORD-162364,11
ORD-162365,1
ORD-162366,2
ORD-162367,1
ORD-162368,69
ORD-162369,20
ORD-162370,4
ORD-162371,19
ORD-162372,11
ORD-162373,14
ORD-162374,11
ORD-162375,204
ORD-162376,11
ORD-162377,13
ORD-162378,14
ORD-162379,198
ORD-162380,20
ORD-162381,11
ORD-162382,15
ORD-162383,7
ORD-162384,69
ORD-162385,7
ORD-162386,13
ORD-162387,14
ORD-162388,14
ORD-162389,198
ORD-162390,130
ORD-162391,19
ORD-162392,11
ORD-162393,204
ORD-162394,2
ORD-162395,198
ORD-162396,1
ORD-162397,198
ORD-162398,23
ORD-162399,19
ORD-162400,14
ORD-162401,14
ORD-162402,13
ORD-162403,14
ORD-162404,13
ORD-162405,8
ORD-162406,14
ORD-162407,14
ORD-162408,14
ORD-162409,7
ORD-162410,13
ORD-162411,1
ORD-162412,208
ORD-162413,208
ORD-162414,140
ORD-162415,14
ORD-162416,14
ORD-162417,11
ORD-162418,11
ORD-162419,13
ORD-162420,1
ORD-162421,1
ORD-162422,1
ORD-162423,19
ORD-162424,13
ORD-162425,2
ORD-162426,13
ORD-162427,15
ORD-162428,7
ORD-162429,7
ORD-162430,11
ORD-162431,198
ORD-162432,19
ORD-162433,78
ORD-162434,11
ORD-162435,19
ORD-162436,2
ORD-162437,4
ORD-162438,19
ORD-162439,13
ORD-162440,211
ORD-162441,14
ORD-162442,11
ORD-162443,15
ORD-162444,14
ORD-162445,14
ORD-162446,23
ORD-162447,11
ORD-162448,13
ORD-162449,14
ORD-162450,15
ORD-162451,11
ORD-162452,71
ORD-162453,13
ORD-162454,23
ORD-162455,20
ORD-162456,13
ORD-162457,23
ORD-162458,15
ORD-162459,20
ORD-162460,1
ORD-162461,1
ORD-162462,7
ORD-162463,11
ORD-162464,7
ORD-162465,19
ORD-162466,15
ORD-162467,7
ORD-162468,20
ORD-162469,7
ORD-162470,204
ORD-162471,1
ORD-162472,13
ORD-162473,23
ORD-162474,204
ORD-162475,204
ORD-162476,11
ORD-162477,204
ORD-162478,204
ORD-162479,7
ORD-162480,23
ORD-162481,71
ORD-162482,20
ORD-162483,11
ORD-162484,11
ORD-162485,11
ORD-162486,11
ORD-162487,23
ORD-162488,11
ORD-162489,11
ORD-162490,11
ORD-162491,11
ORD-162492,11
ORD-162493,204
ORD-162494,15
ORD-162495,19
ORD-162496,198
ORD-162497,199
ORD-162498,199
ORD-162499,1
ORD-162500,1
ORD-162501,69
ORD-162502,11
ORD-162503,199
ORD-162504,199
ORD-162505,19
ORD-162506,204
ORD-162507,23
ORD-162508,7
ORD-162509,15
ORD-162510,1
ORD-162511,1
ORD-162512,204
ORD-162513,20
ORD-162514,199
ORD-162515,199
ORD-162516,204
ORD-162517,204
ORD-162518,14
ORD-162519,8
ORD-162520,71
ORD-162521,2
ORD-162522,1
ORD-162523,14
ORD-162524,2
ORD-162525,11
ORD-162526,198
ORD-162527,1
ORD-162528,13
ORD-162529,198
ORD-162530,198
ORD-162531,11
ORD-162532,19
ORD-162533,19
